# 水凝胶文献综述 — 缺 PDF 列表
# 生成时间: 2026-05-15
# 总笔记数: 685, 已有PDF: 78, 缺PDF: 607
# 状态说明: failed = pipeline尝试下载失败, untried = 从未尝试下载
# 列: DOI | 标题 | 状态

10.1021/bm400217j | Antifreeze (Glyco)protein mimetic behavior of PVA: IRI activity | untried
10.1021/ma049506i | (NO TITLE) | untried
10.1038/nature11409 | Highly stretchable and tough hydrogels | untried
10.1038/nmat2630 | Supramolecular hydrogels | untried
10.1038/s41467-023-40792-y | Skin-like cryogel electronics from suppressed-freezing tuned polymer amorphization | downloaded
10.1038/s41467-023-41874-7 | Programmable nanocomposites of cellulose nanocrystals and zwitterionic hydrogels for soft robotics | downloaded
10.1038/s41467-024-48017-9 | (NO TITLE) | untried
10.1038/s41467-024-48745-9 | Spider-silk-inspired hydrogel fibers with anti-freezing and water retention | downloaded
10.1038/s41467-024-55677-x | Hierarchically aligned heterogeneous core-sheath hydrogels | downloaded
10.1038/s41467-025-57800-y | Ultrastrong eutectogels via integrated mechanical training | downloaded
10.1038/s41467-025-62742-6 | Mechanically robust eutectogels by engineered crystalline domains | downloaded
10.1038/s41467-025-64061-2 | Cellulose-mediated ionic liquid crystallization enables tough-stiff switchable ionogels | downloaded
10.1038/s41467-025-64966-y | Balancing mechanical-thermal-electrical properties in cellulose ionogels via crystallization-induced molecular assembly | downloaded
10.1038/s41578-024-00672-3 | (NO TITLE) | failed
10.1039/B210714G | Novel solvent properties of choline chloride/urea mixtures | untried
10.1039/D0MH01029D | (NO TITLE) | untried
10.1039/D2GC00784C | (NO TITLE) | failed
10.1039/D2GC04730F | Cellulose processing in ionic liquids from a materials science perspective: turning a versatile biopolymer into the cornerstone of our sustainable future | untried
10.1039/D3SM00026E | Encapsulating eutectogels for stretchable humidity-resistant strain sensors. | untried
10.1039/D4CS00718B | Antifreezing hydrogels: from mechanisms and strategies to applications. | untried
10.1039/D4NR03363A | (NO TITLE) | untried
10.1039/c0nr00583e | (NO TITLE) | untried
10.1039/c4ra07576e | Graphene oxide/polyacrylamide/carboxymethyl cellulose sodium nanocomposite hydrogel with enhanced mechanical strength: preparation, characterization and the swelling behavior | failed
10.1039/c6ra12517d | A unique high mechanical strength dialdehyde microfibrillated cellulose/gelatin composite hydrogel with a giant network structure | failed
10.1039/c8cc05779f | Sea cucumber mimicking bacterial cellulose composite hydrogel with ionic strength-sensitive mechanical adaptivity | failed
10.1039/d0ta04360e | Zinc ion trapping in a cellulose hydrogel as a solid electrolyte for a safe and flexible supercapacitor | failed
10.1039/d1ta06468a | Advances in cellulose-metal organic framework composites: preparation and applications | failed
10.1039/d2cs00652a | Ionogels: recent advances in design, material properties and emerging biomedical applications. | untried
10.1039/d2na00769j | Facile sulfation of cellulose via recyclable ternary deep eutectic solvents for low-cost cellulose nanofibril preparation | untried
10.1039/d2ta06835d | Comprehensive utilization of lignocellulosic biomass for electrode and electrolyte in zinc-ion hybrid supercapacitor | failed
10.1039/d2ta09068f | Rarely negative-thermovoltage cellulose ionogel with simultaneously boosting mechanical strength and ionic conductivity via ion-molecular engineering | untried
10.1039/d3mh02008h | Ultra-strong, nonfreezing, and flexible strain sensors enabled by biomass-based hydrogels through triple dynamic bond design | untried
10.1039/d3na00531c | In situ modified nanocellulose/alginate hydrogel composite beads for purifying mining effluents | untried
10.1039/d3ta04980a | A highly stretchable, self-adhesive, anti-freezing, and highly sensitive dual-network conductive hydrogel sensor for multifunctional electronic skin | failed
10.1039/d3ta07424b | A highly conductive and ultra-stretchable polyaniline/cellulose nanocrystal/polyacrylamide hydrogel with hydrophobic associations for wearable strain sensors | failed
10.1039/d3ta08069b | Conductive nanocomposite hydrogels for flexible wearable sensors | untried
10.1039/d4cs00387j | Bottom-up and top-down strategies toward strong cellulose-based materials | untried
10.1039/d4ma00725e | Facile fabrication of stretchable, anti-freezing, and stable organohydrogels for strain sensing at subzero temperatures | failed
10.1039/d4na00732h | A rapid one-step synthesis of silver and copper coordinated chlorine functionalized fullerene nanoparticles with enhanced antibacterial activity | untried
10.1039/d4nj03774j | A strong, stretchable, adhesive, conductive, transparent cellulose-based hydrogel for wearable strain sensors and arrays | failed
10.1039/d4ra00971a | Influence of the coagulation bath on the nanostructure of cellulose films regenerated from an ionic liquid solution | untried
10.1039/d5gc05362e | Eco-designed cellulose-reinforced deep eutectic gels with synergistic mechanical strength, ionic conductivity, and freezing tolerance for flexible electronics | failed
10.1063/1674-0068_cjcp2106104 | Water-resistant and stretchable conductive ionic hydrogel fibers reinforced by carboxymethyl cellulose | failed
10.1063/5.0139951 | Stretchable and self-healable conductive hydrogel-based multifunctional triboelectric nanogenerator for energy harvesting and dance motion sensing | failed
10.1063/5.0207037 | A rapid stretchable hydrogel strain sensor based on PVA/MXene and graphene with basketball monitoring function | failed
10.1080/10584587.2023.2227051 | Preparation and Properties of Multifunctional Nanocellulose-Reinforced PVA Ionic Hydrogel | failed
10.1080/10601320701285045 | (NO TITLE) | failed
10.1080/10601325.2024.2409754 | CMC-Na and Laponite dual network reinforced P (AM-co-NVCL) hydrogel with pH/temperature dual sensitivity | failed
10.1080/1536383x.2024.2310697 | Bio-friendly fluorescent polyvinyl alcohol/gelatin/chitosan hydrogel membranes strengthened by g-C3N4/CQDs nanocomposite: Preparation, investigation of UV-absorption, mechanical and rheological properties | failed
10.1088/1748-605x_acd49a | Injectable cell-laden hydrogels fabricated with cellulose and chitosan nanofibers for bioprinted liver tissues | failed
10.1088/1757-899x_223_1_012052 | Mechanical strength and ionic conductivity of polymer electrolyte membranes prepared from cellulose acetate-lithium perchlorate | failed
10.1109/ee.1941.6434631 | (NO TITLE) | failed
10.1115/1.4000858 | Preparation and Characterization of Novel Bacterial Cellulose/Gelatin Scaffold for Tissue Regeneration Using Bacterial Cellulose Hydrogel | failed
10.1126/sciadv.ado7750 | Dehydration drives damage in the freezing of brittle hydrogels | untried
10.1126/science.aaf3627 | Advances in engineering hydrogels | untried
10.1155/2015_963436 | The preparation of a highly stretchable cellulose nanowhisker nanocomposite hydrogel | failed
10.1186/s12929-025-01166-2 | (NO TITLE) | downloaded
10.1186/s40486-025-00239-z | (NO TITLE) | failed
10.1295/polymj.32.866 | Solubility of Cellulose in NaOH/Urea Aqueous Solution | untried
10.15376/biores.11.3.7710-7720 | Effects of Ozone and Nanocellulose Treatments on the Strength and Optical Properties of Paper Made from Chemical Mechanical Pulp | failed
10.15376/biores.13.1.xu | Review of Silver Nanoparticles (AgNPs)-Cellulose Antibacterial Composites | failed
10.18321/ectj524 | Furazolidone Immobilized in a Hydrogel Based on Crosslinked Carboxymethyl Cellulose | failed
10.19045/bspab.2026.150008 | (NO TITLE) | failed
10.2115/fiberst.2018-0004 | (NO TITLE) | failed
10.2139/ssrn.4193410 | (NO TITLE) | failed
10.2139/ssrn.4197761 | (NO TITLE) | failed
10.2139/ssrn.4204630 | (NO TITLE) | failed
10.2139/ssrn.4397162 | (NO TITLE) | failed
10.2166/wpt.2023.230 | Quantum adsorption mechanism of gelatin cellulose hydrogel for the effective removal of Cu2+ and Co2+ from wastewater using artificial neural networks | failed
10.2352/j.imagingsci.technol.2025.69.3.030412 | (NO TITLE) | failed
10.26599/nr.2025.94907822 | (NO TITLE) | failed
10.26634/jms.5.1.13484 | (NO TITLE) | failed
10.3139/146.111938 | Investigation on microstructural and mechanical properties of sub-zero processed AISI 440C steel | failed
10.3390/coatings13050843 | Preparation of Nanocellulose Whisker/Polyacrylamide/Xanthan Gum Double Network Conductive Hydrogels | downloaded
10.3390/foods11111619 | Novel Fluorescent Nanocellulose Hydrogel Based on Nanocellulose and Carbon Dots for Detection and Removal of Heavy Metal Ions in Water | failed
10.3390/gels7040277 | Degradation-Dependent Stress Relaxing Semi-Interpenetrating Networks of Hydroxyethyl Cellulose in Gelatin-PEG Hydrogel with Good Mechanical Stability and Reversibility | failed
10.3390/ma12101628 | Fabrication and Characterization of Low Methoxyl Pectin/Gelatin/Carboxymethyl Cellulose Absorbent Hydrogel Film for Wound Dressing Applications | failed
10.3390/ma13245789 | The Influence of Sub-Zero Conditions on the Mechanical Properties of Polylactide-Based Composites | failed
10.3390/ma14206165 | Ultra-Stretchable and Self-Healing Anti-Freezing Strain Sensors Based on Hydrophobic Associated Polyacrylic Acid Hydrogels | failed
10.3390/polym16070971 | Recent Progress of Anti-Freezing, Anti-Drying, and Anti-Swelling Conductive Hydrogels and Their Applications | failed
10.3390/polym16172506 | Recent Advancements in Gel Polymer Electrolytes for Flexible Energy Storage Applications | failed
10.36463/idw.2022.0816 | (NO TITLE) | failed
10.3724/sp.j.1077.2008.01011 | (NO TITLE) | failed
10.3724/sp.j.1105.2011.10137 | (NO TITLE) | failed
10.3901/jme.2020.24.190 | Wide Temperature Range Experimental Study into the Fluid Mechanics of Hydraulic Orifices | failed
10.4028/www.scientific.net_amm.852.349 | The Effect of Sub-Zero Treatment on Mechanical Properties of GTAW Welded AA6082 | failed
10.4028/www.scientific.net_amr.1103.9 | Effect of pH and Freezing Condition on Cryogel Encapsulation of Curcumin | failed
10.4028/www.scientific.net_msf.1009.3 | Hybrid Gelatin/Carboxymethyl Cellulose Hydrogel Loaded Copper (II) Ion for Medical Applications | failed
10.4028/www.scientific.net_msf.929.136 | Effect of Sub Zero Treatment on Microstructures, Mechanical Properties, and Dimensional Stability of AISI D2 Cold Work Tool Steel | failed
10.4325/seikeikakou.28.326 | (NO TITLE) | failed
10.47939/et.v2i3.149 | (NO TITLE) | failed
10.52340/ns.2022.05 | (NO TITLE) | failed
10.54254/2753-8818_2026.au32025 | The Review of Antibacterial Mechanism of Cellulose-based Hydrogel | failed
10.5658/wood.2015.43.6.740 | (NO TITLE) | failed
10.59717/j.xinn-mater.2024.100092 | Cellulose nanofibril-guided orienting response of supramolecular network enables superstretchable, robust, and antifatigue hydrogel | failed
10.64149/j.carcinog.22.2.166-179 | (NO TITLE) | failed
10.71329/iupjmech_2025.18.2.66-96 | (NO TITLE) | failed
10/1002_adfm_202304625 | (NO TITLE) | untried
10/1002_adfm_202311502 | (NO TITLE) | untried
10/1002_adfm_202313531 | (NO TITLE) | untried
10/1002_adfm_202315656 | (NO TITLE) | untried
10/1002_adfm_202316137 | (NO TITLE) | untried
10/1002_adfm_202400936 | (NO TITLE) | untried
10/1002_adfm_202402461 | (NO TITLE) | untried
10/1002_adfm_202408160 | (NO TITLE) | untried
10/1002_adfm_202409081 | (NO TITLE) | untried
10/1002_adfm_202416701 | (NO TITLE) | untried
10/1002_adfm_202417498 | (NO TITLE) | untried
10/1002_adfm_202422162 | (NO TITLE) | untried
10/1002_adfm_202501263 | (NO TITLE) | untried
10/1002_adfm_202503512 | (NO TITLE) | untried
10/1002_adfm_202507159 | (NO TITLE) | untried
10/1002_adfm_202519010 | (NO TITLE) | untried
10/1002_adfm_202519971 | (NO TITLE) | untried
10/1002_adhm_202301477 | (NO TITLE) | untried
10/1002_adma_202211783 | (NO TITLE) | untried
10/1002_adma_202311255 | (NO TITLE) | untried
10/1002_adma_202401858 | (NO TITLE) | untried
10/1002_adma_202411997 | (NO TITLE) | untried
10/1002_adma_202416275 | (NO TITLE) | untried
10/1002_adma_202416304 | (NO TITLE) | untried
10/1002_adma_202420338 | (NO TITLE) | untried
10/1002_adma_202510982 | (NO TITLE) | untried
10/1002_adma_202515996 | (NO TITLE) | untried
10/1002_advs_202414301 | (NO TITLE) | untried
10/1002_advs_202510444 | (NO TITLE) | untried
10/1002_advs_202511759 | (NO TITLE) | untried
10/1002_aenm_202503986 | (NO TITLE) | untried
10/1002_anie_202521038 | (NO TITLE) | untried
10/1002_chem_202400622 | (NO TITLE) | untried
10/1002_jbm_b_35346 | (NO TITLE) | untried
10/1002_mabi_202500217 | (NO TITLE) | untried
10/1002_pol_20240219 | (NO TITLE) | untried
10/1002_smll_202412538 | (NO TITLE) | untried
10/1002_smtd_202300553 | (NO TITLE) | untried
10/1007_s10570-024-06016-2 | (NO TITLE) | downloaded
10/1016_j_carbpol_2021_119018 | (NO TITLE) | untried
10/1016_j_carbpol_2023_120647 | (NO TITLE) | untried
10/1016_j_carbpol_2023_120951 | (NO TITLE) | untried
10/1016_j_carbpol_2023_121193 | (NO TITLE) | untried
10/1016_j_carbpol_2023_121239 | (NO TITLE) | untried
10/1016_j_carbpol_2023_121654 | (NO TITLE) | untried
10/1016_j_carbpol_2023_121679 | (NO TITLE) | untried
10/1016_j_carbpol_2024_121740 | (NO TITLE) | untried
10/1016_j_carbpol_2024_121836 | (NO TITLE) | untried
10/1016_j_carbpol_2024_121932 | (NO TITLE) | untried
10/1016_j_carbpol_2024_122286 | (NO TITLE) | untried
10/1016_j_carbpol_2024_122552 | (NO TITLE) | untried
10/1016_j_carbpol_2024_122566 | (NO TITLE) | untried
10/1016_j_carbpol_2024_122788 | (NO TITLE) | untried
10/1016_j_carbpol_2025_123257 | (NO TITLE) | untried
10/1016_j_carbpol_2025_123732 | (NO TITLE) | untried
10/1016_j_carres_2024_109054 | (NO TITLE) | untried
10/1016_j_cej_2023_145177 | (NO TITLE) | untried
10/1016_j_cej_2023_146583 | Multiple dynamic interaction-enabled eutectogel with strong tissue adhesion, mechanical strength and temperature tolerance for transdermal drug delivery: Double monodentate coordination and π-π interaction | untried
10/1016_j_cej_2024_150121 | (NO TITLE) | untried
10/1016_j_cej_2024_151691 | (NO TITLE) | untried
10/1016_j_cej_2024_153865 | (NO TITLE) | untried
10/1016_j_cej_2024_154357 | (NO TITLE) | untried
10/1016_j_cej_2024_154883 | (NO TITLE) | untried
10/1016_j_cej_2024_158243 | (NO TITLE) | untried
10/1016_j_cej_2025_159636 | Green synthesis of multifunctional cellulose-based eutectogel using a metal salt hydrate-based deep eutectic solvent for sustainable self-powered sensing | untried
10/1016_j_cej_2025_159950 | Anisotropic and anti-freezing cellulose hydrogel electrolyte with aligned channels stabilizing Zn metal anode | untried
10/1016_j_cej_2025_166097 | Biosafety, anti-swelling and anti-freezing amino acid-based ionogels for flexible strain sensors | untried
10/1016_j_cej_2025_168883 | A biodegradable cellulose-based ionic conductor for sustainable and high-safety quasi-solid-state sodium batteries | untried
10/1016_j_cej_2025_171367 | Preparing both mechanically robust and highly conductive semi-solid supercapacitor using environment-friendly gelatin-based hydrogel with cellulose fibers and ionic liquid | untried
10/1016_j_cej_2026_174479 | (NO TITLE) | untried
10/1016_j_cplett_2024_141655 | (NO TITLE) | untried
10/1016_j_crmeth_2024_100777 | (NO TITLE) | untried
10/1016_j_eurpolymj_2024_113173 | (NO TITLE) | untried
10/1016_j_foodhyd_2023_108722 | (NO TITLE) | untried
10/1016_j_foodhyd_2023_109127 | (NO TITLE) | untried
10/1016_j_ijbiomac_2020_10_143 | (NO TITLE) | untried
10/1016_j_ijbiomac_2023_124365 | (NO TITLE) | untried
10/1016_j_ijbiomac_2023_125108 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_129600 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_131115 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_131118 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_131129 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_135263 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_138479 | (NO TITLE) | untried
10/1016_j_ijbiomac_2024_138903 | (NO TITLE) | untried
10/1016_j_ijbiomac_2025_141176 | (NO TITLE) | untried
10/1016_j_ijbiomac_2025_142187 | (NO TITLE) | untried
10/1016_j_ijbiomac_2025_143442 | (NO TITLE) | untried
10/1016_j_ijbiomac_2025_148238 | (NO TITLE) | untried
10/1016_j_indcrop_2025_121012 | (NO TITLE) | untried
10/1016_j_jcis_2022_12_101 | (NO TITLE) | untried
10/1016_j_jcis_2023_01_147 | (NO TITLE) | untried
10/1016_j_jcis_2024_10_168 | (NO TITLE) | untried
10/1016_j_jddst_2025_106749 | (NO TITLE) | untried
10/1016_j_mattod_2024_02_007 | (NO TITLE) | untried
10/1016_j_mtchem_2023_101803 | (NO TITLE) | untried
10/1016_j_mtnano_2023_100440 | (NO TITLE) | untried
10/1016_j_nanoen_2024_109599 | (NO TITLE) | untried
10/1016_j_nanoen_2024_110047 | (NO TITLE) | untried
10/1016_j_nanoen_2024_110411 | (NO TITLE) | untried
10/1016_j_nanoen_2025_110646 | (NO TITLE) | untried
10/1016_j_pmatsci_2024_101378 | (NO TITLE) | untried
10/1021_acs_biomac_3c00476 | (NO TITLE) | untried
10/1021_acs_biomac_3c01396 | (NO TITLE) | untried
10/1021_acs_biomac_4c00040 | (NO TITLE) | untried
10/1021_acs_biomac_4c00447 | (NO TITLE) | untried
10/1021_acs_biomac_5c02651 | (NO TITLE) | untried
10/1021_acs_biomac_9b00027 | (NO TITLE) | untried
10/1021_acs_chemmater_4c00504 | (NO TITLE) | untried
10/1021_acs_chemrev_2c00618 | (NO TITLE) | untried
10/1021_acs_jpcb_4c05085 | (NO TITLE) | untried
10/1021_acs_nanolett_1c00514 | (NO TITLE) | untried
10/1021_acs_nanolett_4c04103 | (NO TITLE) | untried
10/1021_acs_nanolett_5c04651 | (NO TITLE) | untried
10/1021_acsabm_4c00358 | (NO TITLE) | untried
10/1021_acsaenm_4c00098 | (NO TITLE) | untried
10/1021_acsami_3c06681 | (NO TITLE) | untried
10/1021_acsami_3c08052 | (NO TITLE) | untried
10/1021_acsami_4c16614 | (NO TITLE) | untried
10/1021_acsanm_4c03831 | (NO TITLE) | untried
10/1021_acsapm_3c01861 | (NO TITLE) | untried
10/1021_acsapm_4c00362 | (NO TITLE) | untried
10/1021_acsapm_4c00872 | (NO TITLE) | untried
10/1021_acsapm_5c04637 | (NO TITLE) | untried
10/1021_acsnano_4c01179 | (NO TITLE) | untried
10/1021_acsnano_4c02677 | (NO TITLE) | untried
10/1021_acsnano_4c07677 | (NO TITLE) | untried
10/1021_acsnano_5c06914 | (NO TITLE) | untried
10/1021_acssuschemeng_3c06488 | (NO TITLE) | untried
10/1038_s41467-023-39648-2 | (NO TITLE) | downloaded
10/1038_s41467-024-46866-9 | (NO TITLE) | downloaded
10/1038_s41467-024-47986-y | (NO TITLE) | downloaded
10/1038_s41467-024-51198-9 | (NO TITLE) | downloaded
10/1038_s41467-024-52266-w | (NO TITLE) | downloaded
10/1038_s41467-024-53291-5 | (NO TITLE) | downloaded
10/1038_s41467-024-54879-7 | (NO TITLE) | downloaded
10/1038_s41467-024-55303-w | (NO TITLE) | downloaded
10/1038_s41467-025-57692-y | (NO TITLE) | downloaded
10/1038_s41467-025-58631-7 | (NO TITLE) | downloaded
10/1038_s41467-025-58806-2 | (NO TITLE) | downloaded
10/1038_s41467-025-60256-9 | (NO TITLE) | downloaded
10/1038_s41467-025-65089-0 | (NO TITLE) | downloaded
10/1038_s41467-025-66512-2 | (NO TITLE) | downloaded
10/1038_s41467-026-69450-9 | (NO TITLE) | downloaded
10/1038_s41524-025-01658-7 | (NO TITLE) | downloaded
10/1038_s41563-025-02137-6 | (NO TITLE) | untried
10/1038_s41563-025-02146-5 | (NO TITLE) | downloaded
10/1038_s41586-025-09269-4 | (NO TITLE) | downloaded
10/1038_s41893-024-01414-7 | (NO TITLE) | untried
10/1039_D2GC04730F | (NO TITLE) | untried
10/1039_D2MA00856D | (NO TITLE) | untried
10/1039_D3SM00026E | (NO TITLE) | untried
10/1039_D4CS00718B | (NO TITLE) | untried
10/1039_D4MH01665C | (NO TITLE) | untried
10/1039_D4NR03363A | (NO TITLE) | untried
10/1039_D4SM01098A | (NO TITLE) | untried
10/1039_D4TB00053F | (NO TITLE) | untried
10/1039_D5EE00158G | (NO TITLE) | untried
10/1039_D5GC05362E | (NO TITLE) | untried
10/1039_D5NJ04464B | (NO TITLE) | untried
10/1039_D5TA00422E | (NO TITLE) | untried
10/1039_D5TA01250C | (NO TITLE) | untried
10/1039_D5TB00008D | (NO TITLE) | untried
10/1039_D5TB01470K | (NO TITLE) | untried
10/1039_D5TC02011E | (NO TITLE) | untried
10/1039_d2ta09068f | (NO TITLE) | untried
10/1039_d5bm00420a | (NO TITLE) | untried
10/1088_1748-605X_ad5d83 | (NO TITLE) | untried
10/1088_2631-7990_ae2577 | (NO TITLE) | untried
10/1088_2752-5724_ad5c84 | (NO TITLE) | untried
10/1089_soro_2024_0019 | (NO TITLE) | untried
10/1126_sciadv_adt2286 | (NO TITLE) | untried
10/3389_frsfm_2023_1281171 | (NO TITLE) | downloaded
10/3390_app142210288 | (NO TITLE) | untried
10/3390_gels11070550 | (NO TITLE) | untried
10/3390_ijms23042037 | (NO TITLE) | untried
10/3390_polym16020247 | (NO TITLE) | untried
10/3390_polym17101373 | (NO TITLE) | untried
10/34133_research_0533 | (NO TITLE) | untried
README | (NO TITLE) | untried
arXiv/2604.28040v1 | (NO TITLE) | untried
arXiv/2604.28101v1 | (NO TITLE) | untried
arXiv/2604.28114v1 | (NO TITLE) | untried
arXiv/2604.28136v1 | (NO TITLE) | untried
arXiv/2604.28144v1 | (NO TITLE) | untried
arXiv/2604.28169v1 | (NO TITLE) | untried
arXiv/2604.28171v1 | (NO TITLE) | untried
arXiv/2604.28177v1 | (NO TITLE) | untried
arXiv/2604.28179v1 | (NO TITLE) | untried
arXiv/2604.28180v1 | (NO TITLE) | untried
arXiv/2604.28183v1 | (NO TITLE) | untried
arXiv/2604.28184v1 | (NO TITLE) | untried
arXiv/2604.28187v1 | (NO TITLE) | untried
arXiv/2604.28191v1 | (NO TITLE) | untried
arXiv/2604.28192v1 | (NO TITLE) | untried
arXiv/2604.28195v1 | (NO TITLE) | untried
arXiv/2605.00629v1 | (NO TITLE) | untried
arXiv/2605.00643v1 | (NO TITLE) | untried
arXiv/2605.00721v1 | (NO TITLE) | untried
arXiv/2605.00727v1 | (NO TITLE) | untried
arXiv/2605.00793v1 | (NO TITLE) | untried
arXiv/2605.00797v1 | (NO TITLE) | untried
arXiv/2605.00798v1 | (NO TITLE) | untried
arXiv/2605.00801v1 | (NO TITLE) | untried
arXiv/2605.00807v1 | (NO TITLE) | untried
arXiv/2605.00810v1 | On the Schur multiplier of $p$-groups with abelianization $s$-elementary abelian | untried
arXiv/2605.00813v1 | Statistical mechanics for Scrabble predicts strategy, entropy and language | untried
arXiv/2605.00815v1 | Revealing the origin of XMCD in an altermagnet via three-dimensional control of spins | untried
arXiv/2605.00818v1 | $4\\times3$ Point Correlation Functions in Galaxy Surveys: Impact of Baryonic Feedback | untried
arXiv/2605.00822v1 | PEARLS: Two Distinct Populations of AGN Hosts Moving Between Star Formation and Quiescence | untried
arXiv/2605.00823v1 | Reliability, Robustness, and Resilience Modeling for Surveillance System in Advanced Air Mobility Operations | untried
arXiv/2605.02708v1 | Temporally Consistent Object 6D Pose Estimation for Robot Control | untried
arXiv/2605.02795v1 | Analyzing Unsolicited Internet Traffic: Measuring IoT Security Threats via Network Telescopes | untried
arXiv/2605.02821v1 | When Is the Same Model Not the Same Service? A Measurement Study of Hosted Open-Weight LLM APIs | untried
arXiv/2605.02847v1 | Landau levels via Jordan superalgebras | untried
arXiv/2605.02849v1 | Active Sampling for Ultra-Low-Bit-Rate Video Compression via Conditional Controlled Diffusion | untried
arXiv/2605.02866v1 | Laplacian Frequency Interaction Network for Rural Thematic Road Extraction | untried
arXiv/2605.02870v1 | Role of General Users in the Lifecycle of Scientific Software | untried
arXiv/2605.02871v1 | Multi-fidelity surrogates for mechanics of composites: from co-kriging to multi-fidelity neural networks | untried
arXiv/2605.02877v1 | Note on Strong Quantum Markov Properties | untried
arXiv/2605.02879v1 | Blow-up analysis and a priori bounds for NLS equations on metric graphs | untried
arXiv/2605.02882v1 | Tracing Primordial Gravitational Waves via non-Gaussian Signatures of Halo Bias | untried
arXiv/2605.02883v1 | de Sitter Vacua &amp; pUniverses | untried
arXiv/2605.02884v1 | Unsupervised Machine Learning for Detecting Structural Anomalies in European Regional Statistics | untried
arXiv/2605.02890v1 | Collins asymmetries for pion-in-jet production in polarized $\\ell p$ collisions at the EIC | untried
arXiv/2605.02891v1 | Interlayer Five-Spin Polaron in Superconducting Bilayer Nickelates | untried
figures/tables_minimum_package_v0 | (NO TITLE) | untried
manuscript/chapter1_introduction_v1 | (NO TITLE) | untried
manuscript/chapter1_introduction_v2_reviewer_edit | (NO TITLE) | untried
manuscript/methods_results_v0 | (NO TITLE) | untried
r1/candidate_upgrade_v1 | (NO TITLE) | untried
r1/core_verification_v0 | (NO TITLE) | untried
总览 | (NO TITLE) | untried
综述执行方案 | (NO TITLE) | untried
综述执行方案/v3 | (NO TITLE) | untried
综述执行方案/v4 | (NO TITLE) | untried
综述执行方案/v5 | (NO TITLE) | untried
综述执行方案/v6_Final | (NO TITLE) | untried
综述执行方案/v7_DeepReview | (NO TITLE) | untried
综述推进决策/2026-05-14 | (NO TITLE) | untried
综述框架 | (NO TITLE) | untried
综述框架/v2 | (NO TITLE) | untried
