doi,year,journal,reading_depth,cellulose_type,strategy,application,mentions_temp_value,has_negative_temp,lowest_neg_temp,mentions_conductivity,reports_cond_value,mentions_mechanics,reports_mech_value,mentions_GF,reports_GF_value,mentions_self_healing,reports_heal_value,mentions_adhesion,reports_adh_value,mentions_anti_drying,mentions_sustainability,mentions_transparency,claims_wide_temperature
10.1039/d4nj03774j,,,R2,Unspecified,Unclear,Sensor,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES
10.1039/c6ra12517d,,,R2,Unspecified,DynamicBond+Gelatin,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.33140/jpcppr.01.01.01,,,R2,Unspecified,PAM+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.3390/polym17233102,,,R2,Unspecified,Salt+DN+PAM,Sensor,YES,NO,,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
10.3390/gels11070522,,,R2,Unspecified,Unclear,Biomedical+Coating,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES
10.1038/s41467-018-05904-z,,,R2,Unspecified,PAA,General,YES,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.3390/antibiotics12050873,,,R2,Unspecified,Unclear,Biomedical+Agricultural+FoodPack,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES
10.3390/gels7040277,,,R2,HEC,Org-H+DN+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.3390/gels9010020,,,R2,CMC+HEC,DN,General,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1039/d5gc05362e,,,R2,Unspecified,DES,General,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES
10.4028/www.scientific.net/amr.1103.9,,,R2,Unspecified,Chitin/CS,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.4028/www.scientific.net/msf.929.136,,,R2,Unspecified,Unclear,General,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.15376/biores.11.3.7710-7720,,,R2,Unspecified,NanoCell,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.3390/gels11010038,,,R2,CMC,Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES
10.3390/ma12101628,,,R2,CMC,Org-H+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES
10.18321/ectj524,,,R2,Unspecified,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1039/c4ra07576e,,,R2,Unspecified,PAM,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.4028/www.scientific.net/msf.1009.3,,,R2,CMC,Gelatin,Biomedical,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.1002/admt.202501019,2026,Advanced Materials Technologies,R2,None,DN,General,NO,NO,,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.3390/foods6060041,,,R2,CMC,Gelatin,Environmental+FoodPack,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.3390/foods11111619,,,R2,Unspecified,NanoCell,Environmental+FoodPack,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.54097/ijbls.v2i3.8660,,,R2,BC,Unclear,Environmental,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1039/c8ra01639a,,,R2,BC,Unclear,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.15376/biores.13.1.xu,,,R2,Unspecified,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.1039/c8cc05779f,,,R2,BC,Unclear,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1038/s41467-022-30224-8,,,R2,Unspecified,Unclear,Sensor,YES,YES,-20,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.4028/www.scientific.net/amm.852.349,,,R2,Regen,Unclear,General,YES,YES,-77,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.3390/ma13245789,,,R2,Unspecified,Unclear,General,YES,YES,-40,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.54254/2753-8818/2026.au32025,,,R2,BC,DynamicBond,Biomedical+Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.3390/ma14206165,,,R2,Unspecified,Org-H+PAA,Sensor,YES,YES,-70,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES
