priority,score,doi,year,journal,reading_depth,candidate_categories,strategy,application,cellulose_type,lowest_neg_temp,reports_cond_value,reports_mech_value,reports_GF_value,reports_heal_value,reports_adh_value,mentions_anti_drying,mentions_sustainability,local_file,note_length,next_action,reasons,local_title
C,52,10.1016/j.ijbiomac.2023.124780,2023,,R2,Nanocellulose,NanoCell+Chitin/CS,Sensor,Unspecified,,YES,NO,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2023.124780.md,4078,Background/statistical pool only,cellulose;claim;nonmech_metric;any_metric;1_reported_metrics;usable_note,"Highly stretchable, tough and conductive chitin nanofiber composite hydrogel as a wearable sensor."
C,52,10.1063/5.0207037,2024,,R2,Salt;Nanocellulose,Salt+NanoCell+Chitin/CS+PVA,Sensor,Unspecified,,NO,YES,NO,NO,NO,NO,NO,10.1063_5.0207037.md,5446,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,A rapid stretchable hydrogel strain sensor based on PVA/MXene and graphene with basketball monitoring function
C,52,10.4028/www.scientific.net/amm.852.349,2016,,R2,Other,Unclear,General,Regen,-77,NO,NO,NO,NO,NO,NO,NO,10.4028_www.scientific.net_amm.852.349.md,6275,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,The Effect of Sub-Zero Treatment on Mechanical Properties of GTAW Welded AA6082
C,52,10.3390/ma13245789,2020,,R2,Other,Unclear,General,Unspecified,-40,NO,NO,NO,NO,NO,NO,YES,10.3390_ma13245789.md,5134,Background/statistical pool only,cellulose;claim;temp_value;subzero;rich_note,The Influence of Sub-Zero Conditions on the Mechanical Properties of Polylactide-Based Composites
C,51,10.1155/2015/963436,2015,,R2,Network_Dynamic;Nanocellulose,NanoCell,General,Unspecified,,NO,YES,NO,NO,NO,NO,YES,10.1155_2015_963436.md,5048,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,The preparation of a highly stretchable cellulose nanowhisker nanocomposite hydrogel
C,51,10.1016/j.jcis.2022.01.117,2022,,R2,Network_Dynamic;Nanocellulose,NanoCell+PAM,Sensor,Unspecified,,NO,YES,NO,NO,NO,NO,NO,10.1016_j.jcis.2022.01.117.md,5057,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,Super-stretchable and adhesive cellulose Nanofiber-reinforced conductive nanocomposite hydrogel for wearable Motion-monitoring sensor.
C,49,10.1115/1.4000858,2010,,R2,Network_Dynamic;Biomedical,Gelatin,Biomedical+Agricultural,BC,,NO,YES,NO,NO,NO,NO,YES,10.1115_1.4000858.md,5396,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,Preparation and Characterization of Novel Bacterial Cellulose/Gelatin Scaffold for Tissue Regeneration Using Bacterial Cellulose Hydrogel
C,47,10.24200/sci.2017.4285,2017,,R2,Other,Unclear,General,Unspecified,-146,NO,NO,NO,NO,NO,NO,NO,10.24200_sci.2017.4285.md,4683,Background/statistical pool only,cellulose;claim;temp_value;subzero;usable_note,Effect of deep sub-zero treatment on mechanical properties of AA5XXX aluminum plates adjoined by MIG welding technique
C,47,10.1016/j.carbpol.2019.115084,2019,,R2,Organohydrogel;Network_Dynamic;Nanocellulose;Energy;Biomedical,Org-H+NanoCell+DynamicBond,Sensor+Energy+Biomedical,CNC,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.carbpol.2019.115084.md,4361,Background/statistical pool only,cellulose;claim;usable_note,An injectable self-healing hydrogel-cellulose nanocrystals conjugate with excellent mechanical strength and good biocompatibility.
C,47,10.1016/j.tws.2020.106842,2020,,R2,Other,Unclear,General,Unspecified,-100,NO,NO,NO,NO,NO,NO,NO,10.1016_j.tws.2020.106842.md,4572,Background/statistical pool only,cellulose;claim;temp_value;subzero;usable_note,Sub-zero temperature mechanical properties of cold-rolled steel sheets
C,47,10.59717/j.xinn-mater.2024.100092,2024,,R2,Salt;Nanocellulose,PVA,General,CNF,,NO,YES,NO,NO,NO,NO,YES,10.59717_j.xinn-mater.2024.100092.md,4807,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;usable_note,"Cellulose nanofibril-guided orienting response of supramolecular network enables superstretchable, robust, and antifatigue hydrogel"
C,47,10.1016/j.ijbiomac.2024.132585,2024,,R2,DES_IL;Network_Dynamic;Energy,DES+DynamicBond+Gelatin,Sensor+Energy,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.132585.md,7003,Background/statistical pool only,cellulose;claim;rich_note,"Ultra-stretchable, adhesive, fatigue resistance, and anti-freezing conductive hydrogel based on gelatin/guar gum and liquid metal for dual-sensory flexible sensor and all-in-one supercapacitors."
C,47,10.3390/gels9010020,2022,,R2,Network_Dynamic,DN,General,CMC+HEC,,NO,YES,NO,NO,NO,NO,NO,10.3390_gels9010020.md,5239,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,Double-Network Hydrogel Films Based on Cellulose Derivatives and κ-Carrageenan with Enhanced Mechanical Strength and Superabsorbent Properties
C,46,10.1021/acsami.4c08592,2024,ACS applied materials & interfaces,R2,Salt;Network_Dynamic,DN,Sensor,Regen,,NO,YES,NO,NO,NO,NO,YES,10.1021_acsami.4c08592.md,5041,Background/statistical pool only,cellulose;any_metric;1_reported_metrics;rich_note,Tough and Elastic Cellulose Composite Hydrogels/Films for Flexible Wearable Sensors.
C,46,10.1016/j.carbpol.2021.118925,2021,,R2,Nanocellulose;Biomedical,NanoCell,Biomedical,Regen,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.carbpol.2021.118925.md,5215,Background/statistical pool only,cellulose;claim;temp_value;rich_note,Design of a dual pH and temperature responsive hydrogel based on esterified cellulose nanocrystals for potential drug release.
C,46,10.1016/j.ijbiomac.2024.132419,2024,,R2,Nanocellulose;Biomedical,NanoCell+PVA,Sensor+Biomedical,CNC,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.132419.md,6056,Background/statistical pool only,cellulose;claim;temp_value;rich_note,Mussel-inspired antimicrobial hydrogel with cellulose nanocrystals/tannic acid modified silver nanoparticles for enhanced calvarial bone regeneration.
C,45,10.1002/macp.202500164,2025,,R2,Organohydrogel;Salt;Network_Dynamic,Org-H+PAA,Sensor,Unspecified,,NO,NO,NO,NO,NO,YES,YES,10.1002_macp.202500164.md,3971,Background/statistical pool only,cellulose;claim;usable_note,Preparation of PAMgA/LiCl/GL Anti‐Freezing Conductive Hydrogel for Wearable Strain Sensors
C,45,10.3390/gels7040277,2021,,R2,Organohydrogel;Network_Dynamic;Biomedical,Org-H+DN+Gelatin,Biomedical,HEC,,NO,NO,NO,NO,NO,NO,YES,10.3390_gels7040277.md,5667,Background/statistical pool only,cellulose;claim;rich_note,Degradation-Dependent Stress Relaxing Semi-Interpenetrating Networks of Hydroxyethyl Cellulose in Gelatin-PEG Hydrogel with Good Mechanical Stability and Reversibility
C,43,10.1016/j.carbpol.2021.117665,2021,,R2,Biomedical,Unclear,Sensor+Biomedical,HEC,,NO,YES,NO,NO,NO,NO,YES,10.1016_j.carbpol.2021.117665.md,5354,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,Preparation of silver nanoparticles by solid-state redox route from hydroxyethyl cellulose for antibacterial strain sensor hydrogel.
C,43,10.1080/1536383x.2024.2310697,2024,,R2,Biomedical,Starch+Chitin/CS+PVA+Gelatin,Biomedical,Unspecified,,NO,YES,NO,NO,NO,NO,YES,10.1080_1536383x.2024.2310697.md,6230,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,"Bio-friendly fluorescent polyvinyl alcohol/gelatin/chitosan hydrogel membranes strengthened by g-C3N4/CQDs nanocomposite: Preparation, investigation of UV-absorption, mechanical and rheological properties"
C,43,10.3390/antibiotics12050873,2023,,R2,Biomedical,Unclear,Biomedical+Agricultural+FoodPack,Unspecified,,NO,YES,NO,NO,NO,NO,YES,10.3390_antibiotics12050873.md,7539,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;rich_note,Cellulose Hydrogel with Hyaluronic Acid and Silver Nanoparticles: Sustained-Release Formulation with Antibacterial Properties against Pseudomonas aeruginosa
C,42,10.1016/j.carbpol.2024.122068,2024,,R2,Nanocellulose;Biomedical,NanoCell,Sensor+Biomedical+Environmental,CNC,,NO,YES,NO,NO,NO,NO,NO,10.1016_j.carbpol.2024.122068.md,4880,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;usable_note,"Highly elastic, fatigue-resistant, antibacterial, conductive, and nanocellulose-enhanced hydrogels with selenium nanoparticles loading as strain sensors."
C,41,10.1016/j.ijbiomac.2021.09.075,2021,,R2,Salt;Nanocellulose,NanoCell,Agricultural,Modified,,NO,NO,NO,NO,NO,YES,YES,10.1016_j.ijbiomac.2021.09.075.md,5752,Background/statistical pool only,cellulose;claim;rich_note,A TEMPO-oxidized cellulose nanofibers/MOFs hydrogel with temperature and pH responsiveness for fertilizers slow-release.
C,41,10.1016/j.carbpol.2021.119005,2021,,R2,Organohydrogel;Nanocellulose,Org-H+NanoCell+PhotoPoly+PAM,Encryption,CNC,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2021.119005.md,5710,Background/statistical pool only,cellulose;claim;rich_note,Anisotropic cellulose nanocrystal hydrogel with multi-stimuli response to temperature and mechanical stress.
C,40,10.1016/j.ijbiomac.2024.138188,2024,International journal of biological macromolecules,R2,DES_IL;Network_Dynamic;Nanocellulose,DES+DN+NanoCell+Lignin+PVA+PAA,Sensor+Agricultural,CNC+Modified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2024.138188.md,7668,Background/statistical pool only,cellulose;rich_note,Synthesis of novel deep eutectic solvent-modified nano cellulosic gel formulation-based strain sensor for human motion monitoring.
C,40,10.1002/slct.202400710,2024,ChemistrySelect,R2,Network_Dynamic;Nanocellulose,DN+NanoCell+PVA+PAM,Sensor,CNC,,NO,NO,NO,NO,NO,YES,NO,10.1002_slct.202400710.md,5126,Background/statistical pool only,cellulose;claim;rich_note,A Cellulose Reinforced Polyacrylamide/Polyvinyl Alcohol Dual Network Hydrogel for Flexible Sensors
C,40,10.1038/s41467-018-05904-z,2018,,R2,Other,PAA,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1038_s41467-018-05904-z.md,5842,Background/statistical pool only,cellulose;claim;temp_value;rich_note,Bioinspired ultra-stretchable and anti-freezing conductive hydrogel fibers with ordered and reversible polymer chain alignment
C,39,10.1016/j.ijbiomac.2023.125973,2023,International journal of biological macromolecules,R2,Network_Dynamic,DN,Sensor+Actuator,CMC,,NO,YES,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2023.125973.md,5310,Background/statistical pool only,cellulose;any_metric;1_reported_metrics;rich_note,Muscle-inspired anisotropic carboxymethyl cellulose-based double-network conductive hydrogels for flexible strain sensors.
C,39,10.3390/nano13050853,2023,Nanomaterials,R2,Nanocellulose;Biomedical,NanoCell+PAM,Biomedical,CNF+CNC,,NO,YES,NO,NO,NO,NO,YES,10.3390_nano13050853.md,6497,Background/statistical pool only,cellulose;any_metric;1_reported_metrics;rich_note,"Biocompatible, Resilient, and Tough Nanocellulose Tunable Hydrogels"
C,39,10.1039/d5gc05362e,2026,,R2,DES_IL;Network_Dynamic,DES,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1039_d5gc05362e.md,4261,Background/statistical pool only,cellulose;claim;usable_note,"Eco-designed cellulose-reinforced deep eutectic gels with synergistic mechanical strength, ionic conductivity, and freezing tolerance for flexible electronics"
C,39,10.3390/ma12101628,2019,,R2,Organohydrogel;Biomedical,Org-H+Gelatin,Biomedical,CMC,,NO,NO,NO,NO,NO,YES,YES,10.3390_ma12101628.md,6251,Background/statistical pool only,cellulose;claim;rich_note,Fabrication and Characterization of Low Methoxyl Pectin/Gelatin/Carboxymethyl Cellulose Absorbent Hydrogel Film for Wound Dressing Applications
C,38,10.1088/1748-605X/acd49a,2023,Biomedical Materials,R2,Salt;Nanocellulose;Energy;Biomedical,NanoCell+Chitin/CS,Energy+Biomedical,Modified,,NO,NO,NO,NO,NO,NO,YES,10.1088_1748-605x_acd49a.md,5630,Background/statistical pool only,cellulose;rich_note,Injectable cell-laden hydrogels fabricated with cellulose and chitosan nanofibers for bioprinted liver tissues
C,38,10.3390/gels10010001,2023,Gels,R2,DES_IL;Organohydrogel;Nanocellulose;Biomedical,DES+Org-H+NanoCell+Lignin,Biomedical+Agricultural,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.3390_gels10010001.md,4708,Background/statistical pool only,cellulose;usable_note,From Hemp Waste to Bioactive Nanofiber Composites: Deep Eutectic Solvents and Electrospinning in Upcycling Endeavors
C,38,10.1016/j.carbpol.2023.120744,2023,,R2,DES_IL,DES,Actuator,Regen,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2023.120744.md,5184,Background/statistical pool only,cellulose;claim;rich_note,The thermodynamics of enhanced dope stability of cellulose solution in NaOH solution by urea.
C,38,10.1080/10601325.2024.2409754,2024,,R2,Network_Dynamic;Biomedical,DN,Biomedical,CMC,,NO,NO,NO,NO,NO,NO,YES,10.1080_10601325.2024.2409754.md,5139,Background/statistical pool only,cellulose;claim;rich_note,CMC-Na and Laponite dual network reinforced P (AM-co-NVCL) hydrogel with pH/temperature dual sensitivity
C,38,10.3390/gels11070522,2025,,R2,Network_Dynamic;Biomedical,Unclear,Biomedical+Coating,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.3390_gels11070522.md,5987,Background/statistical pool only,cellulose;claim;rich_note,Biocompatible Composite Protective Thin Layer Containing Cellulose Fibers and Silica Cryogel
C,38,10.4028/www.scientific.net/msf.1009.3,2020,,R2,Biomedical,Gelatin,Biomedical,CMC,,NO,YES,NO,NO,NO,NO,YES,10.4028_www.scientific.net_msf.1009.3.md,4790,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;usable_note,Hybrid Gelatin/Carboxymethyl Cellulose Hydrogel Loaded Copper (II) Ion for Medical Applications
C,37,10.1002/pc.27243,2023,Polymer Composites,R2,Nanocellulose,NanoCell+Lignin+Chitin/CS,General,CNC,,NO,YES,NO,NO,NO,NO,NO,10.1002_pc.27243.md,5714,Background/statistical pool only,cellulose;any_metric;1_reported_metrics;rich_note,Preparation of spherical nanocellulose from <scp>Gai</scp> bamboo and mechanical properties of chitosan/nanocellulose composite
C,37,10.4028/www.scientific.net/amr.1103.9,2015,,R2,Salt,Chitin/CS,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.4028_www.scientific.net_amr.1103.9.md,5693,Background/statistical pool only,cellulose;claim;rich_note,Effect of pH and Freezing Condition on Cryogel Encapsulation of Curcumin
C,37,10.54097/ijbls.v2i3.8660,2023,,R2,Salt,Unclear,Environmental,BC,,NO,NO,NO,NO,NO,YES,NO,10.54097_ijbls.v2i3.8660.md,6873,Background/statistical pool only,cellulose;claim;rich_note,Preparation and Properties of Nano Platinum/Carbon Nanotubes/Bacterial Cellulose Conductive Hydrogel Electrode Films
C,36,10.1016/j.matlet.2020.128340,2020,,R2,Nanocellulose;Biomedical,NanoCell+Gelatin,Biomedical+Agricultural,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.matlet.2020.128340.md,5213,Background/statistical pool only,cellulose;claim;rich_note,Development of wound therapy in nursing care of infants by using injectable gelatin-cellulose composite hydrogel incorporated with silver nanoparticles
C,36,10.1063/5.0139951,2023,,R2,Network_Dynamic,DN+PAM+PAA,Sensor+Actuator+TENG,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1063_5.0139951.md,5954,Background/statistical pool only,cellulose;claim;rich_note,Stretchable and self-healable conductive hydrogel-based multifunctional triboelectric nanogenerator for energy harvesting and dance motion sensing
C,36,10.3389/fbioe.2020.602318,2020,,R2,Other,Unclear,Sensor,Unspecified,,NO,YES,NO,NO,NO,NO,NO,10.3389_fbioe.2020.602318.md,4660,Background/statistical pool only,cellulose;claim;any_metric;1_reported_metrics;usable_note,"A Dual-Crosslinked and Anisotropic Regenerated Cellulose/Boron Nitride Nanosheets Film With High Thermal Conductivity, Mechanical Strength, and Toughness"
C,35,10.4028/www.scientific.net/msf.929.136,2018,,R2,Other,Unclear,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.4028_www.scientific.net_msf.929.136.md,4912,Background/statistical pool only,cellulose;claim;temp_value;usable_note,"Effect of Sub Zero Treatment on Microstructures, Mechanical Properties, and Dimensional Stability of AISI D2 Cold Work Tool Steel"
C,34,10.1016/j.ijbiomac.2024.130732,2024,International journal of biological macromolecules,R2,Network_Dynamic;Nanocellulose;Biomedical,NanoCell,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.130732.md,5255,Background/statistical pool only,cellulose;rich_note,Recent advances and biomedical application of 3D printed nanocellulose-based adhesive hydrogels: A review.
C,34,10.1016/j.ijbiomac.2025.141174,2025,International journal of biological macromolecules,R2,Network_Dynamic;Nanocellulose;Biomedical,NanoCell,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2025.141174.md,5362,Background/statistical pool only,cellulose;rich_note,Cellulose-based 3D printing bio-inks for biomedical applications: A review.
C,34,10.1016/j.carbpol.2020.117233,2021,,R2,Nanocellulose,NanoCell,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2020.117233.md,5963,Background/statistical pool only,cellulose;claim;rich_note,"Nanocellulose-based foam morphological, mechanical and thermal properties in relation to hydrogel precursor structure and rheology."
C,34,10.15376/biores.11.3.7710-7720,2016,,R2,Nanocellulose,NanoCell,General,Unspecified,,NO,NO,NO,NO,NO,YES,NO,10.15376_biores.11.3.7710-7720.md,7086,Background/statistical pool only,cellulose;claim;rich_note,Effects of Ozone and Nanocellulose Treatments on the Strength and Optical Properties of Paper Made from Chemical Mechanical Pulp
C,34,10.3390/foods11111619,2022,,R2,Nanocellulose,NanoCell,Environmental+FoodPack,Unspecified,,NO,NO,NO,NO,NO,YES,NO,10.3390_foods11111619.md,5808,Background/statistical pool only,cellulose;claim;rich_note,Novel Fluorescent Nanocellulose Hydrogel Based on Nanocellulose and Carbon Dots for Detection and Removal of Heavy Metal Ions in Water
C,33,10.1016/j.carbpol.2024.122444,2024,Carbohydrate polymers,R2,Energy,Unclear,Energy,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2024.122444.md,5864,Background/statistical pool only,cellulose;claim;rich_note,Dual cross-linked cellulose-based hydrogel for dendrites-inhibited flexible zinc-ion energy storage devices with ultra-long cycles and high energy density.
C,33,10.1002/admt.202000358,2020,Advanced Materials Technologies,R2,Other,Unclear,Sensor+Actuator,Unspecified,,NO,YES,NO,NO,NO,NO,NO,10.1002_admt.202000358.md,5739,Background/statistical pool only,cellulose;any_metric;1_reported_metrics;rich_note,Cellulose Hydrogels by Reversible Ion-Exchange as Flexible Pressure Sensors
C,33,10.1002/adfm.202207714,2022,Advanced Functional Materials,R2,DES_IL,DES,Sensor+Actuator+TENG,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1002_adfm.202207714.md,4552,Background/statistical pool only,cellulose;claim;usable_note,"Liquid‐Free, Anti‐Freezing, Solvent‐Resistant, Cellulose‐Derived Ionic Conductive Elastomer for Stretchable Wearable Electronics and Triboelectric Nanogenerators"
C,33,10.54254/2753-8818/2026.au32025,2026,,R2,Network_Dynamic;Biomedical,DynamicBond,Biomedical+Environmental,BC,,NO,NO,NO,NO,NO,NO,NO,10.54254_2753-8818_2026.au32025.md,4172,Background/statistical pool only,cellulose;claim;usable_note,The Review of Antibacterial Mechanism of Cellulose-based Hydrogel
C,32,10.1016/j.carbpol.2021.117671,2021,,R2,Biomedical,Unclear,Biomedical,BC,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2021.117671.md,5534,Background/statistical pool only,cellulose;claim;rich_note,Preparation and properties of conductive bacterial cellulose-based graphene oxide-silver nanoparticles antibacterial dressing.
C,32,10.1039/d4ma00725e,2024,,R2,Organohydrogel,Org-H,Sensor,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1039_d4ma00725e.md,4331,Background/statistical pool only,cellulose;claim;usable_note,"Facile fabrication of stretchable, anti-freezing, and stable organohydrogels for strain sensing at subzero temperatures"
C,32,10.18321/ectj524,2017,,R2,Biomedical,Unclear,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.18321_ectj524.md,5798,Background/statistical pool only,cellulose;claim;rich_note,Furazolidone Immobilized in a Hydrogel Based on Crosslinked Carboxymethyl Cellulose
C,31,10.1039/d3ta04980a,2023,,R2,Network_Dynamic,DN,Sensor,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1039_d3ta04980a.md,3715,Background/statistical pool only,cellulose;claim;usable_note,"A highly stretchable, self-adhesive, anti-freezing, and highly sensitive dual-network conductive hydrogel sensor for multifunctional electronic skin"
C,31,10.1039/d4nj03774j,2024,,R2,Network_Dynamic,Unclear,Sensor,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1039_d4nj03774j.md,3391,Background/statistical pool only,cellulose;claim;usable_note,"A strong, stretchable, adhesive, conductive, transparent cellulose-based hydrogel for wearable strain sensors and arrays"
C,31,10.1039/c6ra12517d,2016,,R2,Network_Dynamic,DynamicBond+Gelatin,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1039_c6ra12517d.md,4409,Background/statistical pool only,cellulose;claim;usable_note,A unique high mechanical strength dialdehyde microfibrillated cellulose/gelatin composite hydrogel with a giant network structure
C,30,10.1016/j.heliyon.2024.e35014,2024,Heliyon,R2,Salt;Nanocellulose;Biomedical,NanoCell+Chitin/CS,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.heliyon.2024.e35014.md,4457,Background/statistical pool only,cellulose;usable_note,Polysaccharide hydrogels for skin wound healing
C,30,10.1016/j.ijbiomac.2024.137911,2024,International journal of biological macromolecules,R2,Other,PhotoPoly,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.137911.md,5312,Background/statistical pool only,cellulose;claim;rich_note,Itaconic acid/cellulose-based hydrogels with fire-resistant and anti-freezing properties via vat photopolymerization 3D printing.
C,30,10.1016/j.carbpol.2018.08.054,2018,,R2,Other,Unclear,Sensor,BC,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2018.08.054.md,5685,Background/statistical pool only,cellulose;claim;rich_note,Conductive bacterial cellulose/multiwall carbon nanotubes nanocomposite aerogel as a potentially flexible lightweight strain sensor.
C,30,10.2166/wpt.2023.230,2023,,R2,Other,Gelatin,Environmental,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.2166_wpt.2023.230.md,6283,Background/statistical pool only,cellulose;claim;rich_note,Quantum adsorption mechanism of gelatin cellulose hydrogel for the effective removal of Cu2+ and Co2+ from wastewater using artificial neural networks
C,30,10.1039/c8ra01639a,2018,,R2,Other,Unclear,Actuator,BC,,NO,NO,NO,NO,NO,NO,NO,10.1039_c8ra01639a.md,5533,Background/statistical pool only,cellulose;claim;rich_note,Rapid uniaxial actuation of layered bacterial cellulose/poly(N-isopropylacrylamide) composite hydrogel with high mechanical strength
C,29,10.1016/j.ijbiomac.2024.132912,2024,International journal of biological macromolecules,R2,Salt,Unclear,General,Regen,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.132912.md,5054,Background/statistical pool only,cellulose;rich_note,"Novel insights on room temperature-induced cellulose dissolution mechanism via ZnCl2 aqueous solution: Migration, penetration, interaction, and dispersion."
C,29,10.17576/jsm-2015-4406-04,2015,,R2,Nanocellulose,NanoCell+Gelatin,General,CNC,,NO,NO,NO,NO,NO,NO,YES,10.17576_jsm-2015-4406-04.md,4192,Background/statistical pool only,cellulose;claim;usable_note,Effect of cellulose nanocrystals content and ph on swelling behaviour of gelatin based hydrogel
C,29,10.1051/matecconf/202134700014,2021,,R2,Nanocellulose,NanoCell+Gelatin,Environmental+Actuator,CNC,,NO,NO,NO,NO,NO,NO,NO,10.1051_matecconf_202134700014.md,4732,Background/statistical pool only,cellulose;claim;usable_note,Neural Network for Modeling the Mechanical Properties of Gelatin-Cellulose Nanocrystals Hydrogel Membrane for Heavy Metal ions Removal from Wastewater
C,29,10.1016/j.carbpol.2022.120117,2022,,R2,Nanocellulose,NanoCell+PVA,General,CNF+CNC+MFC/MCC,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.carbpol.2022.120117.md,4982,Background/statistical pool only,cellulose;claim;usable_note,Microstructural architecture and mechanical properties of empowered cellulose-based aerogel composites via TEMPO-free oxidation.
C,29,10.1016/j.jmbbm.2025.107258,2025,,R2,Nanocellulose,NanoCell+Gelatin,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1016_j.jmbbm.2025.107258.md,4629,Background/statistical pool only,cellulose;claim;usable_note,Electrospun gelatin fiber-gelatin methacryloyl hydrogel composites for reproductive applications.
C,29,10.1039/d3ta07424b,2024,,R2,Nanocellulose,NanoCell+PAM,Sensor,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1039_d3ta07424b.md,4791,Background/statistical pool only,cellulose;claim;usable_note,A highly conductive and ultra-stretchable polyaniline/cellulose nanocrystal/polyacrylamide hydrogel with hydrophobic associations for wearable strain sensors
C,28,10.1021/acs.biomac.3c00596,2023,Biomacromolecules,R2,Nanocellulose;Biomedical,Unclear,Biomedical,CNF,,NO,NO,NO,NO,NO,NO,NO,10.1021_acs.biomac.3c00596.md,5232,Background/statistical pool only,cellulose;rich_note,Preparation and Characterization of Softwood and Hardwood Nanofibril Hydrogels: Toward Wound Dressing Applications
C,28,10.3390/nano14201645,2024,Nanomaterials,R2,Network_Dynamic;Energy;Biomedical,Unclear,Energy+Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.3390_nano14201645.md,4455,Background/statistical pool only,cellulose;usable_note,Advances in Functional Cellulose Hydrogels as Electrolytes for Flexible Zinc-Ion Batteries
C,28,10.1039/d2ta06835d,2022,,R2,Energy,Lignin,Sensor+Energy+Environmental,Regen,,NO,NO,NO,NO,NO,NO,NO,10.1039_d2ta06835d.md,4664,Background/statistical pool only,cellulose;claim;usable_note,Comprehensive utilization of lignocellulosic biomass for electrode and electrolyte in zinc-ion hybrid supercapacitor
C,28,10.1002/adem.202300641,2023,Advanced Engineering Materials,R2,Nanocellulose;Biomedical,Gelatin,Biomedical,CNF+Modified,,NO,NO,NO,NO,NO,NO,YES,10.1002_adem.202300641.md,5702,Background/statistical pool only,cellulose;rich_note,Reinforcing Tissue‐Engineered Cartilage: Nanofibrillated Cellulose Enhances Mechanical Properties of Alginate Dialdehyde–Gelatin Hydrogel
C,27,10.1016/j.ijbiomac.2023.129081,2023,International journal of biological macromolecules,R2,Network_Dynamic;Nanocellulose,NanoCell+DynamicBond,Environmental,Modified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2023.129081.md,4302,Background/statistical pool only,cellulose;usable_note,"Recent advances in TEMPO-oxidized cellulose nanofibers: Oxidation mechanism, characterization, properties and applications."
C,27,10.1007/s10570-021-04067-3,2021,,R2,Biomedical,Unclear,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1007_s10570-021-04067-3.md,4944,Background/statistical pool only,cellulose;claim;usable_note,Antibacterial and wound healing activities of silver nanoparticles embedded in cellulose compared to other polysaccharides and protein polymers
